Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725","$423,315,812",39.7%,"$642,863,913",60.3%
2,The Da Vinci Code,"$760,006,945","$217,536,138",28.6%,"$542,470,807",71.4%
3,Ice Age: The Meltdown,"$660,998,756","$195,330,621",29.6%,"$465,668,135",70.4%
4,Casino Royale,"$606,099,584","$167,445,960",27.6%,"$438,653,624",72.4%
5,Night at the Museum,"$574,480,841","$250,863,268",43.7%,"$323,617,573",56.3%
6,Cars,"$461,983,149","$244,082,982",52.8%,"$217,900,167",47.2%
7,X-Men: The Last Stand,"$460,435,291","$234,362,462",50.9%,"$226,072,829",49.1%
8,Superman Returns,"$391,081,192","$200,081,192",51.2%,"$191,000,000",48.8%
9,Happy Feet,"$384,335,608","$198,000,317",51.5%,"$186,335,291",48.5%
10,Over the Hedge,"$339,795,890","$155,019,340",45.6%,"$184,776,550",54.4%
11,The Devil Wears Prada,"$327,893,740","$124,740,460",38%,"$203,153,280",62%
12,The Pursuit of Happyness,"$307,127,625","$163,566,459",53.3%,"$143,561,166",46.7%
13,The Departed,"$291,465,034","$132,384,315",45.4%,"$159,080,719",54.6%
14,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$262,552,893","$128,505,958",48.9%,"$134,046,935",51.1%
15,Eragon,"$250,425,512","$75,030,163",30%,"$175,395,349",70%
16,Click,"$240,685,326","$137,355,633",57.1%,"$103,329,693",42.9%
17,The Holiday,"$205,841,885","$63,224,849",30.7%,"$142,617,036",69.3%
18,The Break-Up,"$205,668,210","$118,703,275",57.7%,"$86,964,935",42.3%
19,Open Season,"$200,811,689","$85,105,259",42.4%,"$115,706,430",57.6%
20,Inside Man,"$186,003,591","$88,513,495",47.6%,"$97,490,096",52.4%
21,Poseidon,"$181,674,817","$60,674,817",33.4%,"$121,000,000",66.6%
22,Deja Vu,"$180,557,550","$64,038,616",35.5%,"$116,518,934",64.5%
23,Flushed Away,"$178,281,554","$64,665,672",36.3%,"$113,615,882",63.7%
24,Scary Movie 4,"$178,262,620","$90,710,620",50.9%,"$87,552,000",49.1%
25,Blood Diamond,"$171,720,398","$57,377,916",33.4%,"$114,342,482",66.6%
26,Saw III,"$164,874,275","$80,238,724",48.7%,"$84,635,551",51.3%
27,Miami Vice,"$164,231,296","$63,450,470",38.6%,"$100,780,826",61.4%
28,The Pink Panther,"$164,115,897","$82,226,474",50.1%,"$81,889,423",49.9%
29,Talladega Nights: The Ballad of Ricky Bobby,"$163,362,095","$148,213,377",90.7%,"$15,148,718",9.3%
30,World Trade Center,"$163,247,198","$70,278,893",43.1%,"$92,968,305",56.9%
31,The Fast and the Furious: Tokyo Drift,"$158,964,610","$62,514,415",39.3%,"$96,450,195",60.7%
32,Rocky Balboa,"$155,929,020","$70,270,943",45.1%,"$85,658,077",54.9%
33,Dreamgirls,"$155,430,335","$103,365,956",66.5%,"$52,064,379",33.5%
34,Charlotte's Web,"$148,963,822","$82,985,708",55.7%,"$65,978,114",44.3%
35,Garfield: A Tail of Two Kitties,"$143,325,970","$28,426,747",19.8%,"$114,899,223",80.2%
36,Monster House,"$141,861,243","$73,661,010",51.9%,"$68,200,233",48.1%
37,Big Momma's House 2,"$141,522,961","$70,165,972",49.6%,"$71,356,989",50.4%
38,Babel,"$135,330,182","$34,302,837",25.3%,"$101,027,345",74.7%
39,Perfume: The Story of a Murderer,"$135,039,924","$2,223,293",1.6%,"$132,816,631",98.4%
40,V for Vendetta,"$132,511,035","$70,511,035",53.2%,"$62,000,000",46.8%
41,"You, Me and Dupree","$130,628,903","$75,628,110",57.9%,"$55,000,793",42.1%
42,Failure to Launch,"$130,224,158","$88,715,192",68.1%,"$41,508,966",31.9%
43,The Queen,"$123,384,128","$56,441,711",45.7%,"$66,942,417",54.3%
44,Apocalypto,"$120,673,227","$50,866,635",42.2%,"$69,806,592",57.8%
45,Eight Below,"$120,455,994","$81,612,565",67.8%,"$38,843,429",32.2%
46,The Omen,"$119,974,972","$54,607,383",45.5%,"$65,367,589",54.5%
47,Final Destination 3,"$118,890,272","$54,098,051",45.5%,"$64,792,221",54.5%
48,Barnyard,"$116,755,080","$72,637,803",62.2%,"$44,117,277",37.8%
49,The Lake House,"$114,830,111","$52,330,111",45.6%,"$62,500,000",54.4%
50,Step Up,"$114,194,847","$65,328,121",57.2%,"$48,866,726",42.8%
51,Underworld: Evolution,"$111,476,513","$62,318,875",55.9%,"$49,157,638",44.1%
52,The Santa Clause 3: The Escape Clause,"$110,768,122","$84,500,122",76.3%,"$26,268,000",23.7%
53,The Prestige,"$109,676,311","$53,089,891",48.4%,"$56,586,420",51.6%
54,Arthur and the Invisibles,"$107,944,236","$15,132,763",14%,"$92,811,473",86%
55,Little Man,"$104,003,322","$58,645,052",56.4%,"$45,358,270",43.6%
56,The Wild,"$102,338,515","$37,384,046",36.5%,"$64,954,469",63.5%
57,Little Miss Sunshine,"$101,058,954","$59,891,098",59.3%,"$41,167,856",40.7%
58,Silent Hill,"$100,605,135","$46,982,632",46.7%,"$53,622,503",53.3%
59,The Good Shepherd,"$100,266,865","$59,952,835",59.8%,"$40,314,030",40.2%
60,Nacho Libre,"$99,255,460","$80,197,993",80.8%,"$19,057,467",19.2%
61,Deep Sea,"$98,230,905","$46,412,757",47.2%,"$51,818,148",52.8%
62,The Guardian,"$94,973,540","$55,011,732",57.9%,"$39,961,808",42.1%
63,The Host,"$89,431,890","$2,201,923",2.5%,"$87,229,967",97.5%
64,The Illusionist,"$87,892,388","$39,868,642",45.4%,"$48,023,746",54.6%
65,RV,"$87,528,173","$71,726,025",81.9%,"$15,802,148",18.1%
66,The Shaggy Dog,"$87,134,280","$61,123,569",70.1%,"$26,010,711",29.9%
67,Date Movie,"$85,749,034","$48,548,426",56.6%,"$37,200,608",43.4%
68,Volver,"$85,585,177","$12,899,867",15.1%,"$72,685,310",84.9%
69,Jackass Number Two,"$84,645,164","$72,778,712",86%,"$11,866,452",14%
70,Pan's Labyrinth,"$83,850,267","$37,634,615",44.9%,"$46,215,652",55.1%
71,Firewall,"$82,751,189","$48,751,189",58.9%,"$34,000,000",41.1%
72,Hostel,"$81,979,826","$47,326,473",57.7%,"$34,653,353",42.3%
73,The Sentinel,"$78,810,595","$36,280,697",46%,"$42,529,898",54%
74,Curse of the Golden Flower,"$78,568,977","$6,566,773",8.4%,"$72,002,204",91.6%
75,The Lives of Others,"$77,356,942","$11,286,112",14.6%,"$66,070,830",85.4%
76,United 93,"$76,700,659","$31,483,450",41%,"$45,217,209",59%
77,Lady in the Water,"$72,785,169","$42,285,169",58.1%,"$30,500,000",41.9%
78,The Grudge 2,"$70,711,175","$39,143,839",55.4%,"$31,567,336",44.6%
79,Children of Men,"$70,455,770","$35,552,383",50.5%,"$34,903,387",49.5%
80,The Hills Have Eyes,"$70,008,952","$41,778,863",59.7%,"$28,230,089",40.3%
81,Curious George,"$69,865,924","$58,360,760",83.5%,"$11,505,164",16.5%
82,John Tucker Must Die,"$68,844,775","$41,011,711",59.6%,"$27,833,064",40.4%
83,Letters from Iwo Jima,"$68,673,228","$13,756,082",20%,"$54,917,146",80%
84,Fearless,"$68,072,848","$24,633,730",36.2%,"$43,439,118",63.8%
85,When a Stranger Calls,"$67,062,123","$47,860,214",71.4%,"$19,201,909",28.6%
86,Take the Lead,"$66,499,627","$34,742,066",52.2%,"$31,757,561",47.8%
